X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.17834,40.76152,,,2/19,1,large,large,
-74.1807,40.76199,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_199.jpg
-74.1809,40.7616,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_200.jpg
-74.1829,40.75973,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_201.jpg
-74.18287,40.7597,,,2/19,1,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_202.jpg
-74.1827,40.7598,,,2/19,1,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_203.jpg
-74.1809,40.7616,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_204.jpg
-74.18284,40.75965,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_205.jpg
-74.18292,40.75981,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_206.jpg
-74.18272,40.75978,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_207.jpg
-74.18002,40.76252,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_208.jpg
-74.1829,40.7599,,,2/19,1,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_209.jpg
-74.18198,40.75923,,,2/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_210.jpg
-74.18044,40.75889,,,2/19,1,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_211.jpg
-74.18289,40.75981,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_212.jpg
-74.1829,40.7598,,,2/19,1,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_213.jpg
-74.1829493,40.759939,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_214.jpg
-74.18224,40.75956,,,2/19,1,large,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_215.jpg
-74.18296,40.75993,,,2/19,1,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_216.jpg
-74.18374,40.75986,,,2/19,1,large,small,
-74.1809,40.7616,,,2/19,1,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_218.jpg
